Date,Open,High,Low,Closed,Volume
2020-09-15T11:30:00.000000000Z,0.68862,0.6889,0.68862,0.68877,130.0
2020-09-15T11:45:00.000000000Z,0.6888,0.68888,0.68866,0.68876,136.0
2020-09-15T12:00:00.000000000Z,0.68877,0.68896,0.68851,0.68881,150.0
2020-09-15T12:15:00.000000000Z,0.68882,0.68883,0.68849,0.68883,152.0
2020-09-15T12:30:00.000000000Z,0.68882,0.68924,0.68839,0.68893,247.0
2020-09-15T12:45:00.000000000Z,0.68896,0.68976,0.6889,0.68931,329.0
2020-09-15T13:00:00.000000000Z,0.68928,0.68963,0.68898,0.68938,202.0
2020-09-15T13:15:00.000000000Z,0.68935,0.68948,0.68918,0.68928,201.0
2020-09-15T13:30:00.000000000Z,0.68929,0.6895,0.68906,0.68906,192.0
2020-09-15T13:45:00.000000000Z,0.68902,0.6896,0.68871,0.68876,479.0
2020-09-15T14:00:00.000000000Z,0.68881,0.6896,0.68877,0.68946,481.0
2020-09-15T14:15:00.000000000Z,0.68946,0.68978,0.68922,0.68939,315.0
2020-09-15T14:30:00.000000000Z,0.68938,0.68974,0.68916,0.68929,315.0
2020-09-15T14:45:00.000000000Z,0.68929,0.68973,0.68872,0.68906,366.0
2020-09-15T15:00:00.000000000Z,0.6891,0.68933,0.68882,0.68888,298.0
2020-09-15T15:15:00.000000000Z,0.68884,0.68906,0.68868,0.68902,288.0
2020-09-15T15:30:00.000000000Z,0.689,0.68914,0.68866,0.68868,144.0
2020-09-15T15:45:00.000000000Z,0.68871,0.68872,0.68822,0.68828,221.0
2020-09-15T16:00:00.000000000Z,0.68828,0.68884,0.68828,0.68877,182.0
2020-09-15T16:15:00.000000000Z,0.68878,0.68892,0.68864,0.68867,136.0
2020-09-15T16:30:00.000000000Z,0.68871,0.68879,0.6883,0.68854,133.0
2020-09-15T16:45:00.000000000Z,0.68852,0.68878,0.68848,0.68865,136.0
2020-09-15T17:00:00.000000000Z,0.68865,0.68898,0.68854,0.68878,245.0
2020-09-15T17:15:00.000000000Z,0.68882,0.68912,0.68882,0.68912,115.0
2020-09-15T17:30:00.000000000Z,0.68915,0.68936,0.68915,0.68916,79.0
2020-09-15T17:45:00.000000000Z,0.68912,0.68919,0.68882,0.68884,98.0
2020-09-15T18:00:00.000000000Z,0.68886,0.68894,0.68864,0.68883,213.0
2020-09-15T18:15:00.000000000Z,0.68882,0.68896,0.68859,0.6886,140.0
