Date,Open,High,Low,Closed,Volume
2020-09-15T11:30:00.000000000Z,1.29214,1.29258,1.29133,1.29157,676.0
2020-09-15T11:45:00.000000000Z,1.2916,1.29228,1.29078,1.2912,715.0
2020-09-15T12:00:00.000000000Z,1.29122,1.29132,1.29021,1.2913,750.0
2020-09-15T12:15:00.000000000Z,1.29133,1.29206,1.28982,1.29049,1103.0
2020-09-15T12:30:00.000000000Z,1.29052,1.2909,1.28968,1.28982,704.0
2020-09-15T12:45:00.000000000Z,1.28984,1.2899,1.28804,1.28875,940.0
2020-09-15T13:00:00.000000000Z,1.28872,1.28967,1.2887,1.28936,678.0
2020-09-15T13:15:00.000000000Z,1.28934,1.29015,1.28864,1.28871,458.0
2020-09-15T13:30:00.000000000Z,1.28874,1.28924,1.28816,1.28876,798.0
2020-09-15T13:45:00.000000000Z,1.28878,1.28888,1.28664,1.28887,1405.0
2020-09-15T14:00:00.000000000Z,1.28885,1.28922,1.28806,1.28855,1569.0
2020-09-15T14:15:00.000000000Z,1.28852,1.28862,1.28722,1.28762,966.0
2020-09-15T14:30:00.000000000Z,1.28764,1.28764,1.28618,1.28618,937.0
2020-09-15T14:45:00.000000000Z,1.2862,1.28726,1.28532,1.28546,1331.0
2020-09-15T15:00:00.000000000Z,1.28544,1.28544,1.28411,1.2847,1080.0
2020-09-15T15:15:00.000000000Z,1.28472,1.28593,1.28466,1.28578,529.0
2020-09-15T15:30:00.000000000Z,1.28575,1.28636,1.28566,1.28604,529.0
2020-09-15T15:45:00.000000000Z,1.28606,1.28676,1.28594,1.28638,488.0
2020-09-15T16:00:00.000000000Z,1.28642,1.28684,1.28608,1.28642,403.0
2020-09-15T16:15:00.000000000Z,1.28644,1.28786,1.28644,1.28744,348.0
2020-09-15T16:30:00.000000000Z,1.28746,1.2887,1.28746,1.28863,333.0
2020-09-15T16:45:00.000000000Z,1.28866,1.28946,1.2886,1.28926,401.0
2020-09-15T17:00:00.000000000Z,1.28924,1.29046,1.2888,1.29032,393.0
2020-09-15T17:15:00.000000000Z,1.2903,1.29066,1.2899,1.29003,351.0
2020-09-15T17:30:00.000000000Z,1.29,1.29003,1.2893,1.28944,263.0
2020-09-15T17:45:00.000000000Z,1.28947,1.28972,1.28884,1.28889,331.0
2020-09-15T18:00:00.000000000Z,1.28891,1.28904,1.28817,1.28842,355.0
2020-09-15T18:15:00.000000000Z,1.2884,1.28866,1.2882,1.28841,225.0
2020-09-15T18:30:00.000000000Z,1.28838,1.28943,1.28821,1.2892,222.0
2020-09-15T18:45:00.000000000Z,1.28918,1.2898,1.28914,1.2898,241.0
2020-09-15T19:00:00.000000000Z,1.28978,1.2898,1.28868,1.28868,407.0
2020-09-15T19:15:00.000000000Z,1.2887,1.28906,1.28868,1.28902,244.0
2020-09-15T19:30:00.000000000Z,1.28904,1.2891,1.28848,1.2887,266.0
2020-09-15T19:45:00.000000000Z,1.28868,1.28905,1.28866,1.28871,183.0
2020-09-15T20:00:00.000000000Z,1.28869,1.2892,1.2885,1.28886,149.0
2020-09-15T20:15:00.000000000Z,1.28884,1.28886,1.28854,1.2887,114.0
2020-09-15T20:30:00.000000000Z,1.28872,1.289,1.28872,1.28884,64.0
2020-09-15T20:45:00.000000000Z,1.28882,1.28914,1.28877,1.28887,68.0
2020-09-15T21:00:00.000000000Z,1.28897,1.28914,1.28879,1.2889,16.0
2020-09-15T21:15:00.000000000Z,1.28897,1.28907,1.28897,1.28902,6.0
2020-09-15T21:30:00.000000000Z,1.28897,1.28897,1.28897,1.28897,1.0
2020-09-15T21:45:00.000000000Z,1.28902,1.28902,1.28897,1.28897,2.0
2020-09-15T22:00:00.000000000Z,1.28892,1.28902,1.28886,1.289,27.0
2020-09-15T22:15:00.000000000Z,1.28897,1.28911,1.28894,1.28911,25.0
2020-09-15T22:30:00.000000000Z,1.28908,1.28916,1.289,1.289,35.0
2020-09-15T22:45:00.000000000Z,1.28897,1.28909,1.28886,1.28886,54.0
2020-09-15T23:00:00.000000000Z,1.28889,1.28894,1.28872,1.28875,41.0
2020-09-15T23:15:00.000000000Z,1.28877,1.28882,1.28833,1.28834,79.0
2020-09-15T23:30:00.000000000Z,1.28831,1.28834,1.28768,1.28784,71.0
2020-09-15T23:45:00.000000000Z,1.28781,1.28852,1.28781,1.28832,91.0
2020-09-16T00:00:00.000000000Z,1.28829,1.28874,1.28752,1.28784,291.0
2020-09-16T00:15:00.000000000Z,1.28782,1.28812,1.28768,1.28805,244.0
2020-09-16T00:30:00.000000000Z,1.28808,1.28837,1.288,1.28822,236.0
2020-09-16T00:45:00.000000000Z,1.28819,1.28864,1.28819,1.28837,215.0
2020-09-16T01:00:00.000000000Z,1.28835,1.28858,1.28766,1.2883,317.0
2020-09-16T01:15:00.000000000Z,1.28827,1.28956,1.28822,1.28942,310.0
2020-09-16T01:30:00.000000000Z,1.28939,1.28995,1.28932,1.28993,338.0
